Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Mes,Valor,Fecha
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,Violencia de género en todas sus modalidades distinta a la violencia familiar,No identificado,30 a 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Hombre,13 a 17 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Hombre,18 a 29 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Hombre,30 a 60 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Hombre,Más de 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Hombre,No especificado,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,13 a 17 años,Enero,2,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,18 a 29 años,Enero,4,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,30 a 60 años,Enero,6,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,Más de 60 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La familia,Violencia familiar,Violencia familiar,Violencia familiar,Mujer,No especificado,Enero,4,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,Mujer,0 a 12 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La libertad y la seguridad sexual,Abuso sexual,Abuso sexual,Abuso sexual,Mujer,No especificado,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La libertad y la seguridad sexual,Violación,Violación equiparada,Violación equiparada,Mujer,0 a 12 años,Enero,0,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La libertad y la seguridad sexual,Violación,Violación simple,Violación simple,Mujer,0 a 12 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La libertad y la seguridad sexual,Violación,Violación simple,Violación simple,Mujer,30 a 60 años,Enero,1,2026-01-01
2026,26,Sonora,26002.0,Agua Prieta,La vida y la Integridad corporal,Feminicidio,Tentativa de feminicidio,Tentativa de feminicidio,Mujer,30 a 60 años,Enero,1,2026-01-01
